[scen0]
	[text]		Я увидел женщину в ветхом пальто: она осторожно, пытаясь не поскользнуться, семенила по льду. Из-под старомодной шапки спускались длинные волнистые волосы, и на них белой пылью оседал снег. На плече висела потертая тряпичная сумка, и в ней, кажется, находилось что-то тяжелое.__
Я стоял под деревом на детской площадке, совершенно незаметный, если не приглядываться.__
Потушенный бычок ловко скользнул в урну.
	[buttons]	Спрятать руки в карманы.;
		 	None;
		 	None;
		 	None
	[progress]	1;
			0;
			0;
			0;
	[image]		None
	[sound]		None
	[skill]		0;0;
			0;0;
			0;0;
			0;0
	[morebuttons]	0;0;
			0;0;
			0;0;
			0;0
[scen1]
	[text]		Женщина остановилась под единственным фонарем в этом дворе. Свет упал на усталое лицо, которое через пару лет уже тронут морщины. Она расстегнула сумку и начала в ней копаться.

	[buttons]	Ключи?;
		 	Сигареты?;
		 	None;
		 	None
	[progress]	1;
			1;
			0;
			0;
	[image]		None
	[sound]		None
	[skill]		0;0;
			0;0;
			0;0;
			0;0
	[morebuttons]	0;0;
			0;0;
			0;0;
			0;0
[scen2]
	[text]		Мое сердце колотилось, а желудок рычал, как дизельный двигатель. Несколько лет назад я прятался в похожем дворе, курил сигареты той же марки и наблюдал, как юная девушка приближается к дому. Я чувствовал аромат ее духов, смешанный с дорогим алкоголем.__
И что тогда на меня нашло? В такие моменты не думаешь, будто даже не видишь ничего – превращаешься в молнию, светящуюся ломаную линию, несущуюся к цели.

	[buttons]	Девушка вскрикнула.;
		 	Я грубо повалил ее на землю.;
		 	Никто не мог прийти к ней на помощь.;
		 	Я чувствовал себя чудовищем.
	[progress]	1;
			1;
			1;
			1;
	[image]		None
	[sound]		None
	[skill]		h;1;
			h;2;
			h;2;
			0;0
	[morebuttons]	0;0;
			0;0;
			0;0;
			0;0
[scen3]
	[text]		Нет, стоп.__
Не стоило это вспоминать.__
С тех пор я обзавелся семьей, нашел приличную работу, а город выделил нам квартиру в многоэтажном доме. Все это в прошлом. Давным-давно в прошлом. Нужно утихомирить трясущиеся колени и ноющую боль внизу живота.__
А у этой женщины все было и будет хорошо.__
Она достала плоскую пачку дамских сигарет и теперь пыталась зажечь спичку замерзшими руками.

	[buttons]	Снег заскрипел под моими ногами.;
		 	Я двигался так бесшумно, как мог.;
		 	None;
		 	None
	[progress]	1;
			1;
			0;
			0;
	[image]		None
	[sound]		None
	[skill]		0;0;
			h;1;
			0;0;
			0;0
	[morebuttons]	0;0;
			0;0;
			0;0;
			0;0
[scen4]
	[text]		Видимо, что-то отразилось на моем лице. Приводит в ужас мысль о том, какая у меня могла быть гримаса: глаза безумца, готового отпустить удила и вновь совершить то, о чем никому не может рассказать вот уже четыре года.__
Она заметила меня и закричала: истошный, пронзительный вопль страха и отчаяния. Сигарета выпала из рук, а алые губы на мгновение образовали черную дыру, в которой тонул мой и без того шаткий рассудок.

	[buttons]	«Женщина, постойте!». ;
		 	«Вы можете мне помочь?». ;
		 	None;
		 	None
	[progress]	1;
			1;
			0;
			0;
	[image]		None
	[sound]		None
	[skill]		0;0;
			0;0;
			0;0;
			0;0
	[morebuttons]	0;0;
			0;0;
			0;0;
			0;0
[scen5]
	[text]		Ее тонкая рука утонула в бездне сумочки и ловко выудила ключ. Женщина пулей долетела до подъездной двери, но теперь от испуга не могла попасть в замочную скважину.__
- Помогите! Кто-нибудь! - ее голос срывался на визг._
- Я приближался к ней и к черте своего безумия. Крик вскружил голову._
- Я Вас не трону! Нужно просто..._
- Уходите, уходите! Я ничего не знаю! У меня маленькие
дети, не трогайте меня...__
Нас трясло. 

	[buttons]	Я держу себя в руках. Держу. В руках. ;
		 	Я едва мог совладать с собой. ;
		 	На миг я стал тем же чудовищем, что и 4 года назад.;
		 	None
	[progress]	1;
			1;
			1;
			0;
	[image]		None
	[sound]		None
	[skill]		0;0;
			h;1;
			h;2;
			0;0
	[morebuttons]	0;0;
			0;0;
			0;0;
			0;0
[scen6]
	[text]		Наконец она справилась с замком и хлопнула дверью прямо передо мной. А я опустился на колени от отчаяния. Эта женщина была моим единственным шансом на спасение. Более того, она стала первым человеком, которого я увидел за весь день.__
Из подъезда донеслись всхлипы.__
- Это Вы? - спросил я, сгорая от стыда.__
После недолгого молчания женщина отозвалась:__
- Зачем Вы гнались за мной?_
- Не гнался. Извините, что напугал. Я...
	[buttons]	«...потерялся».;
		 	«...хотел поговорить».;
		 	None;
		 	None
	[progress]	1;
			1;
			0;
			0;
	[image]		None
	[sound]		None
	[skill]		0;0;
			0;0;
			0;0;
			0;0
	[morebuttons]	0;0;
			0;0;
			0;0;
			0;0
[scen7]
	[text]		- Это неправда, - она глотала слезы, - Вы хотели меня... Со мной..._
- Нет, что Вы! Я и подумать не смел о таком._
- Откуда Вы? Из какого дома?_
- Я вообще не отсюда._
- Как такое возможно?

	[buttons]	Попросить погреться в подъезде. ;
		 	Попросить еды и сигарет. ;
		 	Попросить переночевать. ;
		 	None
	[progress]	1;
			2;
			3;
			0;
	[image]		None
	[sound]		None
	[skill]		0;0;
			0;0;
			0;0;
			0;0
	[morebuttons]	0;0;
			0;0;
			0;0;
			0;0
[scen8]
	[text]		Женщина залилась слезами.__
- Нет, нет! Я открою Вам дверь, а Вы... Влетите! Выпрыгнете! Наскочите!__
Она была слишком напугана, чтобы пустить меня. Единственный шанс на спасение ускользал из рук. Пришлось говорить начистоту.__
- Послушайте. Я ищу Бюро Городских Путешествий. Могу показать письмо! Там сказано, что меня приглашают на собеседование. Я лишь хотел спросить, где находится эта контора.

	[buttons]	Пауза затянулась. ;
		 	None;
		 	None;
		 	None
	[progress]	3;
			0;
			0;
			0;
	[image]		None
	[sound]		None
	[skill]		0;0;
			0;0;
			0;0;
			0;0
	[morebuttons]	0;0;
			0;0;
			0;0;
			0;0
[scen9]
	[text]		- Я ведь совсем не знаю Вас...__- Прошу. Если не хотите открывать дверь, просто киньте что-нибудь из окна. Хотя бы кусок хлеба. Я весь день ничего не ел.__
Мне на секунду показалось, что она успокоилась и оттаяла.__
- У меня совсем ничего нет. Уходите._
- Хорошо. Но хотя бы выслушайте. Я ищу Бюро Городских Путешествий. Могу показать письмо! Там сказано, что меня приглашают на собеседование. Я лишь хотел спросить, где находится эта контора.

	[buttons]	Интересно, слышала ли она о Бюро? ;
		 	None;
		 	None;
		 	None
	[progress]	2;
			0;
			0;
			0;
	[image]		None
	[sound]		None
	[skill]		0;0;
			0;0;
			0;0;
			0;0
	[morebuttons]	0;0;
			0;0;
			0;0;
			0;0
[scen10]
	[text]		- Вы вообще в своем уме? - кричала женщина, - Я никуда Вас не пущу! Извращенец! Уходите!__
Это был неосторожный шаг.__
- Ладно, извините. Зря я так сказал. Просто мне совсем некуда пойти. Я ищу Бюро Городских Путешествий. Могу показать письмо! Там сказано, что меня приглашают на собеседование. Я лишь хотел спросить, где находится эта контора.

	[buttons]	Женщина никуда не ушла: она тихонько сопела под дверью. ;
		 	None;
		 	None;
		 	None
	[progress]	1;
			0;
			0;
			0;
	[image]		None
	[sound]		None
	[skill]		0;0;
			0;0;
			0;0;
			0;0
	[morebuttons]	0;0;
			0;0;
			0;0;
			0;0
[scen11]
	[text]		- Я Вам не верю, - ответила она._
- Давайте я... протолкну письмо под дверь! А Вы прочитаете и убедитесь во всем. Только пообещайте, что вернете назад.__
Женщина промычала что-то неопределенное, но в этой ситуации оставалось лишь довериться ей.


	[buttons]	Достать письмо. ;
		 	None;
		 	None;
		 	None
	[progress]	1;
			0;
			0;
			0;
	[image]		None
	[sound]		None
	[skill]		0;0;
			0;0;
			0;0;
			0;0
	[morebuttons]	0;0;
			0;0;
			0;0;
			0;0
[scen12]
	[text]		На серой бумаге холодного конверта выделялись две марки достоинством в одну и две копейки. На первой - изображение детей с факелами, танцующих вокруг новогодней елки, почему-то опутанной проводами, а на второй - не то библиотека, не то музей без каких-либо подписей. Блеклая синяя печать злополучного «Бюро Городских Путешествий» была единственным опознавательным знаком.__

	[buttons]	Достать письмо из конверта. ;
		 	None;
		 	None;
		 	None
	[progress]	1;
			0;
			0;
			0;
	[image]		None
	[sound]		None
	[skill]		0;0;
			0;0;
			0;0;
			0;0
	[morebuttons]	0;0;
			0;0;
			0;0;
			0;0
[scen13]
	[text]		Небольшой лист бумаги скользнул мне в руку.__
«Уважаемый господин [здесь было предусмотрено место для фамилии, однако никто не потрудился ее написать], спешим уведомить Вас, что сегодня, 20 декабря, в 19:00 состоится собрание по поводу Вашего досье, на котором требуется Ваше присутствие. В связи с этим Вы получаете оплачиваемый выходной на официальном месте работы (ООО «Уютинский Комбинат Смертоубйства и Устрашения», на котором Вы занимаете должность начальника ракетного цеха). Убедительная просьба явиться в головной офис Бюро Городских Путешествий по адресу ул. Багровая 36 «д» к указанному времени».__
Ниже стояла печать, такая же, как и на конверте.

	[buttons]	Протолкнуть письмо под дверь. ;
		 	None;
		 	None;
		 	None
	[progress]	1;
			1;
			0;
			0;
	[image]		None
	[sound]		None
	[skill]		0;0;
			0;0;
			0;0;
			0;0
	[morebuttons]	0;0;
			0;0;
			0;0;
			0;0
[scen14]
	[text]		Незнакомка выдернула бумагу из моих заледеневших пальцев. Несколько минут она молчала и всхлипывала - по всей видимости, вчитываясь, - а затем сказала строгим и слегка насмешливым голосом:__
- Вы, молодой человек, опоздали. Сегодня вечер двадцать первого.__
Почему-то меня это обидело.__
- Знаю. Приехал сюда вчера._
- И что же Вы делали здесь сутки без крова и еды?_
- Я... я потерялся и искал выход.__
Представляю, насколько глупо это звучало.
	[buttons]	«Так Вы мне поможете?».;
		 	«Теперь Вы верите мне?». ;
		 	None;
		 	None
	[progress]	1;
			1;
			0;
			0;
	[image]		None
	[sound]		None
	[skill]		0;0;
			0;0;
			0;0;
			0;0
	[morebuttons]	0;0;
			0;0;
			0;0;
			0;0
[scen15]
